,id,text,sentiment_text
0,782313955075186689,"First time my camera gets out of the city, into nature and I grabbed this one shot!!!... https://t.co/vhdxgb0wHU",First time my camera gets out of the city into nature and I grabbed this one shot. 
1,782345677523202048,||Oh Niagara || You are every bit as dreamy as I thought you would be. Nature: you are the... https://t.co/gnZ8BmbCRX,Oh Niagara You are every bit as dreamy as I thought you would be. Nature you are the. 
2,784096931538673666,"All dressed up after the presentations! #niagarafalls #travel #adventure @ Canada ,Niagara Falls https://t.co/OssD0Tbmbw",All dressed up after the presentations Canada Niagara Falls 
3,782244201866092544,Breakfast/Lunch at pipscitydiner#hungry #food #vacation #instalike #pipscitydiner @ Pip's City... https://t.co/qmPvygXFy1,BreakfastLunch at pipscitydiner Pip City. 
4,783801793021030400,"""In all things of nature, there is something of the marvelous.""- Aristotle ..#aristotle... https://t.co/IZGmpKdF7B",In all things of nature there is something of the marvelous. Aristotle . 
5,782288667524018177,At the #niagrafalls #falls in #fall #autumn #nature #niagra #ontario #canada #greatfeeling... https://t.co/eEWA5BAvvz,At the in . 
6,782918375445966848,Nature at it is finest #latergram @ Niagara Fall - The Great Falls https://t.co/hihZdUsNzP,Nature at is finest Niagara Fall The Great Falls 
7,740970353883811841,High times x Ontario '16#vscocam #fujixpro2 #ontario #canada #niagarafalls #wanderlust @ Niagara... https://t.co/k6Pk032rAX,High times x Ontario Niagara. 
8,781991210890043393,"#travel #jobs TELLER PART TIME - Northwest Savings Bank - North Tonawanda, NY  https://t.co/oQuuVMjqYs",TELLER PART TIME Northwest Savings Bank North Tonawanda NY 
9,784130397093425152,#niagra #niagrafalls - hotel is 46 up with a pretty awesome view of the falls! @ Niagara Falls https://t.co/DrlFkFFJH9, hotel is up with a pretty awesome view of the falls Niagara Falls 
