,id,text
0,464243770268332032,"The spectacular ""Rainbow"" Falls at night. @ Niagara Falls,."
1,464227579646726146,"I want nothing more then to combine my three loves: drinking beer, traveling and taking pictures. Ideas are in motion."
2,464210714237104128,When are the refs going to call a travel on Hibbert?
3,464207602239692800,cannot wait to travel all over this summer
4,464142394578198528,"Hard Rock, almoco hoje foi outro nivel kk @ Hard Rock Cafe."
5,464105195975081984,Agora siim! Chegamos ha agora eh enjoyar o/ @.
6,464329285822476288,anytime I go to a gas station at am I feel like I am on a road trip on vacation
7,464157646312857600,But first let me take a selfie. I had to! buffalony @ Hotel at The Lafayette
8,464223228701835264,"Spending a lot of time traveling & in hotels, with more to come. Home for a short while. My own tv, couch & most importantly, bed."
9,464111654264131584,"Meeting in Niagara Falls, at Hard Rock. Eta galera boa! [?] @ Hard."
