,id,text
0,825862031010099200,"Falling Water @ Niagara Falls, Ontario, Canada"
1,826149113506959361,Ohh these Orchids are .
2,825563638115078144,"Eating a beaver tail before I get back to the hotel and eat some ""beaver tail"" ."
3,826421992752439297,First drop of the day. .
4,826027738008018944,"I am at Hyatt Regency Buffalo / Hotel and Conference Center in Buffalo, NY"
5,826077384004640768,Make Monday matter.
6,826843707265556481,.
7,825129732341690369,"Just posted a photo @ Seneca Casino and Hotel , NiagraFalls Ny"
8,826829794914492417,Blend with nature @ Niagara Falls
9,825548224937201664,"Mmm, liquor. (@ Hyatt Regency Buffalo / Hotel and Conference Center in Buffalo, NY)"
