,id,text
0,862480592004362240,"Nature at is finest @ Niagara Falls, New York"
1,989230768999182337,.
2,862773074042785792,"The waterfall at night seems like hell's entry [?] @ Niagara Falls,."
3,987808050726629376,I twirl on them haters [?] @ Hotel at The Lafayette
4,987177182022721537,E esse mundo inteiro e seu tambem! @.
5,987401597566246912,"Traveling witch this weekend!A read for you all, funny that I am on the go and some of you all."
6,989531018775400448,"Oh, this place took my breath away! Massive! I would love to visit again [?]."
7,987910500142010368,@ Niagara.
8,987701187553185792,.
9,987738974562091008,[?]/[?].
