,id,text
0,861748299665072128,Niagara Falls pt. NiagaraFalls .
1,862598809699979264,@ Buffalo Niagara International Airport
2,862789176332353536,Can this dog read? .
3,861323971849064449,The Golden having a great time on vacation. @ Americana Waterpark Resort & Spa
4,862351443231199232,"There was water. and it was falling. @ Niagara Falls,."
5,861337424437420032,This why we often feel more aligned and at peace in nature.
6,862744861774053377,Niagara Falls | .quebecholiday.
7,861005057826983937,I doubt vodka is the answer but is worth a shot @ Hotel at The Lafayette
8,861335120686575618,Stress relief.Much need time alone. Just the sound of nature. View of natural.
9,862469036365332480,"Love the water [?]@ Niagara Falls, New York"
