,id,text
0,696137270290558977,@ Niagara Falls
1,695609563907813376,"Time to work off my vacation at CycleFit (@ YMCA Welland in Welland, Ontario)"
2,696115982570381313,"After getting a concussion the way into the hotel, we are relaxing before in."
3,696364669271830528,is [?] last day of vacation .
4,696385446419505152,Niagara Falls @ Niagara Falls
5,696729790254985216,Looking at the USA from Canada ..
6,696386000931704832,Amazed akong feeling ron . @ Niagara Falls
7,696036278115164160,Buffalo lighting @ Buffalo Niagara International Airport
8,697510599740227585,So till last night this was all clear. .
9,697754092102406144,to c.
